Station,Filename
PERUMBAVOOR PRIVATE BUS STAND,muvattupuzha.json
VADAKKAMBILLY,muvattupuzha.json
ALUVA -ERNAKULAM -AROOR TEMPLE,muvattupuzha.json
THODUPUZHA MUVATTUPUZHA,muvattupuzha.json
MUVATTUPUZHA,muvattupuzha.json
MUVATTUPUZHA,kottayam.json
MUVATTUPUZHA,idukki.json
MUVATTUPUZHA- ERNAKULAM- KIZHAKKAMBALAM,muvattupuzha.json
MUVATTUPUZHA- PERUMBAVOOR .,muvattupuzha.json
MUVATTUPUZHA THODUPUZHA,muvattupuzha.json
VELLOOR,muvattupuzha.json
VELLOOR,kottayam.json
KALAMPOOR,muvattupuzha.json
PIRAVOM,muvattupuzha.json
PIRAVOM,ernakulam.json
PIRAVOM,kottayam.json
PIRAVOM,idukki.json
KOTHAMANGALAM BUS STAND,muvattupuzha.json
VATTAPPARA,muvattupuzha.json
VATTAPPARA,ernakulam.json
VATTAPPARA,idukki.json
KOTHAMANGALAM PERUMBHAVOOR,muvattupuzha.json
MALIPPARA,muvattupuzha.json
NERIAMANGALAM BUS STAND,muvattupuzha.json
MAMALAKANDAM,muvattupuzha.json
MAMALAKANDAM,idukki.json
URULANTHANNI,muvattupuzha.json
KOTHAMANGALAM PRIVATE BUS STAND- MARKET ROAD,muvattupuzha.json
PERUMBAVOOR- KOLENCHERRY,muvattupuzha.json
ALUVA-KOLENCHERY,muvattupuzha.json
VETTILAPPARA,muvattupuzha.json
VETTILAPPARA,ernakulam.json
VETTILAPPARA,kozhikkode.json
CHARUPARA,muvattupuzha.json
KOTTAPPADY,muvattupuzha.json
PALAMATTOM,muvattupuzha.json
UPPUKANDAM JUNCTION,muvattupuzha.json
POTHANIKAD,muvattupuzha.json
ARACKAPPADY,muvattupuzha.json
MEENPARA,muvattupuzha.json
KOLENCHERY BUS ST AND,muvattupuzha.json
PATTIMATTOM,muvattupuzha.json
PATTIMATTOM,ernakulam.json
THAMMANIMATTOM,muvattupuzha.json
THAMMANIMATTOM,ernakulam.json
KUMMANODU,muvattupuzha.json
OONNUKAL,muvattupuzha.json
OONNUKAL,idukki.json
ILLIKKUNNU,muvattupuzha.json
UPPUKULAM,muvattupuzha.json
ANAND OILMILL,muvattupuzha.json
AYAVANA,muvattupuzha.json
KAVAKKAD,muvattupuzha.json
METHALA,muvattupuzha.json
PERUMBAVOOR P B,muvattupuzha.json
KOODALAPPAD,muvattupuzha.json
KALADY,muvattupuzha.json
KALADY,ernakulam.json
ALATTUCHIRA,muvattupuzha.json
ALATTUCHIRA,ernakulam.json
KODANAD,muvattupuzha.json
ALUVA- PANIELY,muvattupuzha.json
KIZHAKKAMBALAM,muvattupuzha.json
KIZHAKKAMBALAM,ernakulam.json
VALLIKKADA,muvattupuzha.json
PERUMBAVOOR PRIVATE BUS ST AND,muvattupuzha.json
"ALUVA-KOTHAMANGALAM VIA VAZHAKKULAM, PERUM BAVOOR & ODAKKALY.",muvattupuzha.json
VALAKOM,muvattupuzha.json
NELLAD,muvattupuzha.json
ANGAMALY,muvattupuzha.json
ANGAMALY,ernakulam.json
KARIMKUNNAM,muvattupuzha.json
ERNAKULAM (KALOOR),muvattupuzha.json
KOOTHATTUKULAM,muvattupuzha.json
KOOTHATTUKULAM,ernakulam.json
KOOTHATTUKULAM,kottayam.json
